Crop_ID,Scientific_Name,Common_Name,Local_Name,Crop_Category,Indian_State,Agro_Climate_Zone,Optimal_Temperature_Min,Optimal_Temperature_Max,Optimal_Soil_Moisture_Min,Optimal_Soil_Moisture_Max,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Light_Intensity_Lux,Rainfall_mm,Weather_API_Temperature,Weather_API_Humidity,Weather_API_Rainfall,Stress_Level,Stress_Type
C0000,Oryza sativa,Rice,Dhan,Food Crop,West Bengal,Indian Agro-climate Zone,24,35,60,90,38.97,68.8,75.26,645.83,24.99,38.8,67.13,17.85,1,Moderate Drought
C0001,Triticum aestivum,Wheat,Gehu,Food Crop,Punjab,Indian Agro-climate Zone,15,30,40,70,11.41,43.8,54.71,381.82,45.85,10.63,44.05,44.49,1,Heat Stress
C0002,Zea mays,Maize,Makka,Food Crop,Karnataka,Indian Agro-climate Zone,18,32,50,80,26.57,48.99,54.18,566.36,114.02,27.71,45.99,114.3,0,Normal
C0003,Pennisetum glaucum,Pearl Millet,Bajra,Food Crop,Rajasthan,Indian Agro-climate Zone,25,35,30,60,20.93,59.28,38.41,213.26,235.55,21.18,58.14,225.87,1,Moderate Drought
C0004,Cicer arietinum,Chickpea,Chana,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,18,30,35,60,20.89,69.65,52.08,1033.19,43.34,20.46,66.47,48.45,0,Normal
C0005,Solanum lycopersicum,Tomato,Tamatar,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,20,30,50,80,19.16,93.02,56.22,975.13,234.87,20.74,94.0,243.31,1,Moderate Drought
C0006,Solanum tuberosum,Potato,Aloo,Food Crop,West Bengal,Indian Agro-climate Zone,15,25,60,80,16.96,51.15,60.9,588.68,67.84,18.27,49.71,63.46,0,Normal
C0007,Allium cepa,Onion,Pyaz,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,13,25,45,70,11.1,31.02,60.11,623.4,98.72,10.27,26.16,92.7,1,Moderate Drought
C0008,Mangifera indica,Mango,Aam,Horticulture Crop,Uttar Pradesh,Indian Agro-climate Zone,24,35,40,70,45.53,53.3,17.12,315.87,215.78,46.02,51.61,207.05,2,Heat Stress
C0009,Musa acuminata,Banana,Kela,Horticulture Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,28.25,71.44,84.59,1087.21,118.05,26.73,73.57,123.27,0,Normal
C0010,Gossypium hirsutum,Cotton,Kapas,Cash Crop,Maharashtra,Indian Agro-climate Zone,21,35,40,70,34.5,76.19,42.16,310.89,109.83,33.31,80.15,109.34,1,Moderate Drought
C0011,Saccharum officinarum,Sugarcane,Ganna,Cash Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,65,85,32.39,56.67,46.27,955.55,57.2,30.7,54.57,50.42,1,Light Stress
C0012,Camellia sinensis,Tea,Cha,Cash Crop,Assam,Indian Agro-climate Zone,18,30,70,90,40.66,59.67,36.67,418.44,104.13,42.19,57.92,96.57,2,Heat Stress
C0013,Coffea arabica,Coffee,Coffee,Cash Crop,Karnataka,Indian Agro-climate Zone,18,28,60,85,31.14,57.76,48.61,1018.01,215.18,29.16,57.87,213.53,1,Light Stress
C0014,Corchorus capsularis,Jute,Pat,Cash Crop,West Bengal,Indian Agro-climate Zone,24,35,60,85,25.32,91.29,68.44,523.2,129.7,26.13,89.93,139.13,0,Normal
C0015,Hevea brasiliensis,Rubber,Rubber,Cash Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,41.76,39.63,29.86,1197.74,66.7,43.67,38.74,57.36,2,Drought Stress
C0016,Withania somnifera,Ashwagandha,Ashwagandha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,30.86,61.81,42.44,1185.65,60.51,31.55,64.43,55.27,1,Moderate Drought
C0017,Ocimum tenuiflorum,Tulsi,Tulsi,Medicinal Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,40,70,42.57,55.92,17.65,1016.43,199.59,41.18,56.01,203.5,2,Heat Stress
C0018,Aloe barbadensis,Aloe Vera,Gwarpatha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,42.28,63.29,7.2,426.5,161.29,40.98,65.2,159.03,2,Heat Stress
C0019,Glycine max,Soybean,Soybean,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,20,30,50,80,35.96,43.59,15.23,741.45,173.95,34.88,40.34,183.59,2,Drought Stress
C0020,Arachis hypogaea,Groundnut,Moongfali,Food Crop,Gujarat,Indian Agro-climate Zone,25,35,40,70,25.22,88.32,69.79,1100.42,158.28,24.57,86.81,162.79,1,Heat Stress
C0021,Brassica juncea,Mustard,Sarson,Cash Crop,Rajasthan,Indian Agro-climate Zone,10,25,35,60,36.21,90.82,16.7,985.34,167.25,36.53,89.54,176.05,2,Water Stress
C0022,Cucumis sativus,Cucumber,Kheera,Horticulture Crop,Karnataka,Indian Agro-climate Zone,20,30,60,80,36.99,74.97,17.21,851.96,56.07,37.84,72.35,52.58,2,Heat Stress
C0023,Capsicum annuum,Chilli,Mirch,Horticulture Crop,Andhra Pradesh,Indian Agro-climate Zone,20,32,50,75,41.55,50.02,30.48,742.54,127.2,42.09,47.53,129.0,2,Drought Stress
C0024,Abelmoschus esculentus,Okra,Bhindi,Horticulture Crop,Gujarat,Indian Agro-climate Zone,22,35,50,75,43.41,81.66,32.18,702.64,144.23,43.38,78.62,148.68,2,Water Stress
C0025,Oryza sativa,Rice,Dhan,Food Crop,West Bengal,Indian Agro-climate Zone,24,35,60,90,24.27,41.51,79.36,1140.46,238.48,25.93,40.21,228.79,0,Normal
C0026,Triticum aestivum,Wheat,Gehu,Food Crop,Punjab,Indian Agro-climate Zone,15,30,40,70,38.0,93.72,24.33,275.35,76.42,36.76,91.41,76.13,2,Water Stress
C0027,Zea mays,Maize,Makka,Food Crop,Karnataka,Indian Agro-climate Zone,18,32,50,80,22.47,67.05,71.43,297.18,153.75,24.43,63.45,154.12,1,Light Stress
C0028,Pennisetum glaucum,Pearl Millet,Bajra,Food Crop,Rajasthan,Indian Agro-climate Zone,25,35,30,60,45.19,76.08,11.97,752.82,74.13,44.86,73.64,76.36,2,Water Stress
C0029,Cicer arietinum,Chickpea,Chana,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,18,30,35,60,18.06,42.63,50.7,270.94,99.2,16.27,46.49,89.75,0,Normal
C0030,Solanum lycopersicum,Tomato,Tamatar,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,20,30,50,80,23.77,60.26,61.96,742.64,71.64,24.13,55.57,62.38,1,Light Stress
C0031,Solanum tuberosum,Potato,Aloo,Food Crop,West Bengal,Indian Agro-climate Zone,15,25,60,80,32.52,83.81,10.08,471.54,241.31,32.35,87.23,235.2,2,Drought Stress
C0032,Allium cepa,Onion,Pyaz,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,13,25,45,70,23.39,93.02,26.92,914.6,10.27,22.98,92.36,15.15,1,Moderate Drought
C0033,Mangifera indica,Mango,Aam,Horticulture Crop,Uttar Pradesh,Indian Agro-climate Zone,24,35,40,70,26.03,57.84,42.43,888.5,14.55,27.69,57.26,9.34,0,Normal
C0034,Musa acuminata,Banana,Kela,Horticulture Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,26.83,71.49,88.69,716.7,164.28,26.57,73.79,155.23,0,Normal
C0035,Gossypium hirsutum,Cotton,Kapas,Cash Crop,Maharashtra,Indian Agro-climate Zone,21,35,40,70,19.81,37.54,21.61,246.0,10.18,21.23,39.58,9.67,1,Moderate Drought
C0036,Saccharum officinarum,Sugarcane,Ganna,Cash Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,65,85,27.37,41.26,74.47,633.85,99.63,27.84,42.61,90.53,0,Normal
C0037,Camellia sinensis,Tea,Cha,Cash Crop,Assam,Indian Agro-climate Zone,18,30,70,90,26.77,65.06,67.64,883.96,153.96,28.54,69.5,161.31,1,Moderate Drought
C0038,Coffea arabica,Coffee,Coffee,Cash Crop,Karnataka,Indian Agro-climate Zone,18,28,60,85,29.02,71.81,68.86,658.25,136.4,30.78,70.67,145.63,1,Light Stress
C0039,Corchorus capsularis,Jute,Pat,Cash Crop,West Bengal,Indian Agro-climate Zone,24,35,60,85,41.37,54.52,7.77,238.96,154.56,40.72,56.08,152.27,2,Water Stress
C0040,Hevea brasiliensis,Rubber,Rubber,Cash Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,42.38,37.68,18.03,896.74,157.24,43.89,40.03,163.31,2,Water Stress
C0041,Withania somnifera,Ashwagandha,Ashwagandha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,22.66,82.44,52.52,1190.51,103.15,22.15,85.21,99.97,0,Normal
C0042,Ocimum tenuiflorum,Tulsi,Tulsi,Medicinal Crop,Uttar Pradesh,Indian Agro-climate Zone,20,35,40,70,46.01,78.09,13.58,438.24,94.43,46.15,78.06,92.22,2,Drought Stress
C0043,Aloe barbadensis,Aloe Vera,Gwarpatha,Medicinal Crop,Rajasthan,Indian Agro-climate Zone,20,35,30,60,21.5,92.31,31.6,1047.14,88.73,23.33,94.07,88.38,0,Normal
C0044,Glycine max,Soybean,Soybean,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,20,30,50,80,16.67,65.99,30.04,412.73,236.55,17.79,62.13,245.17,1,Moderate Drought
C0045,Arachis hypogaea,Groundnut,Moongfali,Food Crop,Gujarat,Indian Agro-climate Zone,25,35,40,70,46.97,87.7,6.12,550.92,29.27,45.54,90.32,31.63,2,Water Stress
C0046,Brassica juncea,Mustard,Sarson,Cash Crop,Rajasthan,Indian Agro-climate Zone,10,25,35,60,11.26,34.73,52.52,1021.86,176.56,9.59,30.58,186.29,0,Normal
C0047,Cucumis sativus,Cucumber,Kheera,Horticulture Crop,Karnataka,Indian Agro-climate Zone,20,30,60,80,22.41,89.0,71.58,791.89,87.55,23.25,88.82,85.11,1,Light Stress
C0048,Capsicum annuum,Chilli,Mirch,Horticulture Crop,Andhra Pradesh,Indian Agro-climate Zone,20,32,50,75,38.74,62.02,14.91,211.35,117.17,36.97,58.21,109.52,2,Heat Stress
C0049,Abelmoschus esculentus,Okra,Bhindi,Horticulture Crop,Gujarat,Indian Agro-climate Zone,22,35,50,75,34.16,56.01,54.17,677.71,20.72,34.27,55.38,26.77,1,Heat Stress
C0050,Oryza sativa,Rice,Dhan,Food Crop,West Bengal,Indian Agro-climate Zone,24,35,60,90,43.89,90.1,17.91,1119.12,63.25,44.67,85.86,56.57,2,Heat Stress
C0051,Triticum aestivum,Wheat,Gehu,Food Crop,Punjab,Indian Agro-climate Zone,15,30,40,70,19.42,75.3,69.87,584.2,184.28,21.08,79.89,175.43,0,Normal
C0052,Zea mays,Maize,Makka,Food Crop,Karnataka,Indian Agro-climate Zone,18,32,50,80,15.56,42.23,43.46,663.7,88.34,15.9,38.01,97.83,1,Heat Stress
C0053,Pennisetum glaucum,Pearl Millet,Bajra,Food Crop,Rajasthan,Indian Agro-climate Zone,25,35,30,60,44.89,56.73,10.36,802.78,67.74,43.42,52.49,76.55,2,Drought Stress
C0054,Cicer arietinum,Chickpea,Chana,Food Crop,Madhya Pradesh,Indian Agro-climate Zone,18,30,35,60,25.79,90.63,55.96,1066.06,11.3,23.89,89.39,17.52,1,Heat Stress
C0055,Solanum lycopersicum,Tomato,Tamatar,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,20,30,50,80,36.05,55.54,22.82,1029.16,142.27,34.31,50.91,134.95,2,Water Stress
C0056,Solanum tuberosum,Potato,Aloo,Food Crop,West Bengal,Indian Agro-climate Zone,15,25,60,80,15.75,64.73,73.83,949.91,228.29,16.09,66.99,233.43,0,Normal
C0057,Allium cepa,Onion,Pyaz,Horticulture Crop,Maharashtra,Indian Agro-climate Zone,13,25,45,70,13.3,92.01,30.25,806.17,57.16,13.99,93.19,54.32,1,Moderate Drought
C0058,Mangifera indica,Mango,Aam,Horticulture Crop,Uttar Pradesh,Indian Agro-climate Zone,24,35,40,70,31.39,80.2,55.61,720.16,213.05,31.59,80.81,220.58,0,Normal
C0059,Musa acuminata,Banana,Kela,Horticulture Crop,Kerala,Indian Agro-climate Zone,25,35,70,90,22.68,81.0,46.3,839.36,201.26,24.29,82.18,210.87,1,Light Stress
C0060,Gossypium hirsutum,Cotton,Kapas,Cash Crop,Maharashtra,Indian Agro-climate Zone,21,35,40,70,31.28,88.77,45.51,548.26,128.5,32.41,87.74,130.94,1,Light Stress
